"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"2957",8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6
"4725",6.1,0.32,0.33,10.7,0.036,27,98,0.99521,3.34,0.52,10.2,6
"4315",6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
"2010",8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7
"111",6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6
"411",7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
"661",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
"945",6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
"1676",6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5
"2530",6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
"3740",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"131",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
"1851",7.1,0.25,0.25,1.6,0.046,50,181,0.9925,3.2,0.42,11,7
"2419",6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5
"2976",8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
"1794",7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5
"2720",7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
"4526",5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6
"3464",6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7
"4117",6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
"720",7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,7
"2279",6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
"1706",6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6
"4711",5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7
"4615",7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5
"3073",7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6
"1654",7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6
"3219",6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,4
"4348",7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,7
"3720",6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,5
"3904",5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5,6
"4110",5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6
"3017",7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
"3040",6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6
"1736",8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6
"3356",5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
"36",7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
"2761",7.7,0.16,0.36,5.9,0.054,25,148,0.99578,3.25,0.54,10.2,6
"2807",7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9,5
"4732",5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6
"4744",6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5
"4606",6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,6
"3652",6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6
"2835",6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6
"986",6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,6
"22",6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7
"1445",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
"24",7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
"746",7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
"3777",6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5
"2114",5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
"1108",7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
"1948",5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
"525",5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
"3408",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
"1639",7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5
"4270",7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5
"325",8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
"4103",6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5
"1211",9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,6
"964",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
"3696",6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,6
"730",6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
"73",6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5
"1352",6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,7
"159",5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
"2900",6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
"599",5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8
"2503",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
"3959",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"3036",6,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7
"4019",6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
"3899",8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,7
"1196",7.9,0.22,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2,6
"3884",6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
"1062",7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5
